.notdef,.notdef
.null,.null
nonmarkingreturn,nonmarkingreturn
CR,nonmarkingreturn
space,space
tab,tab
exclam,exclam
exclam.arab,exclam.arab
quotedbl,quotedbl
numbersign,numbersign
dollar,dollar
percent,percent
ampersand,ampersand
quotesingle,quotesingle
parenleft,parenleft
parenleft.arab,parenleft.arab
parenright,parenright
parenright.arab,parenright.arab
asterisk,asterisk
asterisk.arab,asterisk.arab
plus,plus
comma,comma
hyphen,hyphentwo
hyphenminus,hyphen
period,period
period.test,period.test
slash,slash
zero,zero
zeroMedium,zero.medium
zeroSmall,zero.small
one,one
oneMedium,one.medium
oneSmall,one.small
two,two
twoMedium,two.medium
twoSmall,two.small
three,three
threeMedium,three.medium
threeSmall,three.small
four,four
fourMedium,four.medium
fourSmall,four.small
five,five
fiveMedium,five.medium
fiveSmall,five.small
six,six
sixMedium,six.medium
sixSmall,six.small
seven,seven
sevenMedium,seven.medium
sevenSmall,seven.small
eight,eight
eightMedium,eight.medium
eightSmall,eight.small
nine,nine
nineMedium,nine.medium
nineSmall,nine.small
colon,colon
colon.arab,colon.arab
semicolon,semicolon
less,less
equal,equal
greater,greater
question,question
at,at
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
bracketleft,bracketleft
bracketright,bracketright
backslash,backslash
underscore,underscore
a,a
b,b
c,c
d,d
e,e
f,f
g,g
h,h
i,i
j,j
k,k
l,l
m,m
n,n
o,o
p,p
q,q
r,r
s,s
t,t
u,u
v,v
w,w
x,x
y,y
z,z
braceleft,braceleft
braceright,braceright
bar,bar
asciitilde,asciitilde
nobreakspace,nbspace
exclamdown,exclamdown
cent,cent
sterling,sterling
currency,currency
yen,yen
brokenbar,brokenbar
section,section
copyright,copyright
registered,registered
ordfeminine,ordfeminine
guillemotleft,guillemetleft
logicalnot,logicalnot
sfthyphen,softhyphen
degree,degree
plusminus,plusminus
asciicircum,asciicircum
micro,micro
paragraph,paragraph
periodcentered,periodcentered
ordmasculine,ordmasculine
guillemotright,guillemetright
onesuperior,onesuperior
twosuperior,twosuperior
threesuperior,threesuperior
onehalf,onehalf
onequarter,onequarter
threequarters,threequarters
questiondown,questiondown
Agrave,Agrave
Aacute,Aacute
Acircumflex,Acircumflex
Atilde,Atilde
Adieresis,Adieresis
Aring,Aring
AE,AE
Ccedilla,Ccedilla
Egrave,Egrave
Eacute,Eacute
Ecircumflex,Ecircumflex
Edieresis,Edieresis
Igrave,Igrave
Iacute,Iacute
Icircumflex,Icircumflex
Idieresis,Idieresis
Eth,Eth
Ntilde,Ntilde
Ograve,Ograve
Oacute,Oacute
Ocircumflex,Ocircumflex
Otilde,Otilde
Odieresis,Odieresis
multiply,multiply
Oslash,Oslash
Ugrave,Ugrave
Uacute,Uacute
Ucircumflex,Ucircumflex
Udieresis,Udieresis
Yacute,Yacute
Thorn,Thorn
germandbls,germandbls
agrave,agrave
aacute,aacute
acircumflex,acircumflex
atilde,atilde
adieresis,adieresis
aring,aring
ae,ae
ccedilla,ccedilla
egrave,egrave
eacute,eacute
ecircumflex,ecircumflex
edieresis,edieresis
igrave,igrave
iacute,iacute
icircumflex,icircumflex
idieresis,idieresis
eth,eth
ntilde,ntilde
ograve,ograve
oacute,oacute
ocircumflex,ocircumflex
otilde,otilde
odieresis,odieresis
divide,divide
oslash,oslash
ugrave,ugrave
uacute,uacute
ucircumflex,ucircumflex
udieresis,udieresis
yacute,yacute
thorn,thorn
ydieresis,ydieresis
dotlessi,idotless
OE,OE
oe,oe
Scaron,Scaron
scaron,scaron
Ydieresis,Ydieresis
Zcaron,Zcaron
zcaron,zcaron
florin,florin
grave,grave
overscore,macron
dieresis,dieresis
acute,acute
cedilla,cedilla
circumflex,circumflex
caron,caron
modMacron,firsttonechinese
ring,ring
tilde,tilde
absHamza,hamza-ar
absHighHamza,highhamza-ar
absAlef,alef-ar
absAlefFin,alef-ar.fina
absAlefFin.postLamIni,alef-ar.postLamIni.fina
absAlefFin.postLamMed,alef-ar.postLamMed.fina
absAlefHamzaAbove,alefHamzaabove-ar
absAlefHamzaAboveFin,alefHamzaabove-ar.fina
absAlefHamzaAboveFin.postLamIni,alefHamzaabove-ar.postLamIni.fina
absAlefHamzaAboveFin.postLamMed,alefHamzaabove-ar.postLamMed.fina
absAlefHamzaAbove.warsh,alefHamzaabove-ar.warsh
